"","Name","Rating","reviews","price"
"1","realme C11 2021 (Cool Blue, 32 GB)","1,95,955  "," 8,742 ","<U+20B9>9,999"
"2","realme C11 2021 (Cool Grey, 32 GB)","1,95,955  "," 8,742 ","<U+20B9>9,999"
"3","realme C11 2021 (Cool Blue, 64 GB)","1,70,418  "," 9,557 ","<U+20B9>9,999"
"4","realme 9i (Prism Blue, 128 GB)","8,725  "," 643 ","<U+20B9>14,999"
"5","realme 9i (Prism Black, 128 GB)","8,725  "," 643 ","<U+20B9>11,999"
"6","realme 9i (Prism Black, 64 GB)","46,928  "," 2,434 ","<U+20B9>13,999"
"7","realme 9i (Prism Blue, 64 GB)","46,928  "," 2,434 ","<U+20B9>11,999"
"8","realme C25Y (Metal Grey, 64 GB)","1,26,243  "," 5,287 ","<U+20B9>13,999"
"9","realme C11 2021 (Cool Grey, 64 GB)","1,70,418  "," 9,557 ","<U+20B9>14,999"
"10","realme 9i (Prism Black, 128 GB)","46,928  "," 2,434 ","<U+20B9>13,999"
"11","realme Narzo 50A (Oxygen Green, 64 GB)","2,89,263  "," 19,022 ","<U+20B9>10,999"
"12","realme Narzo 50A (Oxygen Blue, 128 GB)","2,89,263  "," 19,022 ","<U+20B9>16,467"
"13","realme C25Y (Glacier Blue, 64 GB)","1,26,243  "," 5,287 ","<U+20B9>16,474"
"14","realme C25_Y (Metal Grey, 128 GB)","32,829  "," 1,721 ","<U+20B9>10,369"
"15","realme 9 5G (Stargaze White, 64 GB)","7,149  "," 532 ","<U+20B9>1,999"
"16","realme 9 5G (Meteor Black, 128 GB)","2,147  "," 162 ","<U+20B9>13,999"
"17","realme 9 5G (Meteor Black, 64 GB)","7,149  "," 532 ","<U+20B9>1,999"
"18","realme C25_Y (Metal Grey, 64 GB)","32,829  "," 1,721 ","<U+20B9>1,510"
"19","realme C25_Y (Glacier Blue, 64 GB)","32,829  "," 1,721 ","<U+20B9>1,999"
"20","realme C35 (Glowing Black, 64 GB)","43,554  "," 2,763 ","<U+20B9>1,999"
"21","realme Narzo 50A (Oxygen Green, 128 GB)","2,89,263  "," 19,022 ","<U+20B9>10,329"
"22","realme C25_Y (Glacier Blue, 128 GB)","32,829  "," 1,721 ","<U+20B9>14,849"
"23","realme C35 (Glowing Green, 64 GB)","43,554  "," 2,763 ","<U+20B9>14,849"
"24","realme C35 (Glowing Black, 128 GB)","43,554  "," 2,763 ","<U+20B9>2,340"
